fold,valid_task,train_task,exposed_il_pairs
1,experiment/speed_of_sound,experiment/static_relative_permittivity,5
1,experiment/speed_of_sound,experiment/surface_tension,19
1,experiment/speed_of_sound,experiment/thermal_conductivity,6
1,experiment/speed_of_sound,experiment/thermal_decomposition_temperature,12
1,experiment/speed_of_sound,experiment/viscosity,24
1,experiment/speed_of_sound,experiment/x_co2,6
1,experiment/speed_of_sound,experiment/solvation,4
1,experiment/speed_of_sound,experiment/transfer,4
1,experiment/static_relative_permittivity,experiment/density,8
1,experiment/static_relative_permittivity,experiment/dynamic_relative_permittivity,4
1,experiment/static_relative_permittivity,experiment/electrical_conductivity,4
1,experiment/static_relative_permittivity,experiment/equilibrium_pressure,3
1,experiment/static_relative_permittivity,experiment/glass_transition_temperature,7
1,experiment/static_relative_permittivity,experiment/heat_capacity,7
1,experiment/static_relative_permittivity,experiment/melting_point,6
1,experiment/static_relative_permittivity,experiment/pec50,4
1,experiment/static_relative_permittivity,experiment/refractive_index,6
1,experiment/static_relative_permittivity,experiment/self_diffusion_coefficient,1
1,experiment/static_relative_permittivity,experiment/speed_of_sound,5
1,experiment/static_relative_permittivity,experiment/surface_tension,7
1,experiment/static_relative_permittivity,experiment/thermal_conductivity,5
1,experiment/static_relative_permittivity,experiment/thermal_decomposition_temperature,2
1,experiment/static_relative_permittivity,experiment/viscosity,6
1,experiment/static_relative_permittivity,experiment/x_co2,5
1,experiment/static_relative_permittivity,experiment/solvation,1
1,experiment/static_relative_permittivity,experiment/transfer,1
1,experiment/surface_tension,experiment/density,162
1,experiment/surface_tension,experiment/dynamic_relative_permittivity,8
1,experiment/surface_tension,experiment/electrical_conductivity,37
1,experiment/surface_tension,experiment/equilibrium_pressure,18
1,experiment/surface_tension,experiment/glass_transition_temperature,19
1,experiment/surface_tension,experiment/heat_capacity,29
1,experiment/surface_tension,experiment/isobaric_coefficient_of_volume_expansion,5
1,experiment/surface_tension,experiment/melting_point,35
1,experiment/surface_tension,experiment/pec50,22
1,experiment/surface_tension,experiment/refractive_index,49
1,experiment/surface_tension,experiment/self_diffusion_coefficient,6
1,experiment/surface_tension,experiment/speed_of_sound,19
1,experiment/surface_tension,experiment/static_relative_permittivity,8
1,experiment/surface_tension,experiment/thermal_conductivity,14
1,experiment/surface_tension,experiment/thermal_decomposition_temperature,29
1,experiment/surface_tension,experiment/viscosity,86
1,experiment/surface_tension,experiment/x_co2,18
1,experiment/surface_tension,experiment/solvation,12
1,experiment/surface_tension,experiment/transfer,9
1,experiment/thermal_conductivity,experiment/density,16
1,experiment/thermal_conductivity,experiment/dynamic_relative_permittivity,5
1,experiment/thermal_conductivity,experiment/electrical_conductivity,9
1,experiment/thermal_conductivity,experiment/equilibrium_pressure,3
1,experiment/thermal_conductivity,experiment/glass_transition_temperature,8
1,experiment/thermal_conductivity,experiment/heat_capacity,12
1,experiment/thermal_conductivity,experiment/isobaric_coefficient_of_volume_expansion,2
1,experiment/thermal_conductivity,experiment/melting_point,7
1,experiment/thermal_conductivity,experiment/pec50,3
1,experiment/thermal_conductivity,experiment/refractive_index,11
1,experiment/thermal_conductivity,experiment/speed_of_sound,7
1,experiment/thermal_conductivity,experiment/static_relative_permittivity,2
1,experiment/thermal_conductivity,experiment/surface_tension,10
1,experiment/thermal_conductivity,experiment/thermal_decomposition_temperature,5
1,experiment/thermal_conductivity,experiment/viscosity,14
1,experiment/thermal_conductivity,experiment/x_co2,5
1,experiment/thermal_conductivity,experiment/solvation,1
1,experiment/thermal_conductivity,experiment/transfer,1
1,experiment/thermal_decomposition_temperature,experiment/density,56
1,experiment/thermal_decomposition_temperature,experiment/dynamic_relative_permittivity,3
1,experiment/thermal_decomposition_temperature,experiment/electrical_conductivity,14
1,experiment/thermal_decomposition_temperature,experiment/equilibrium_pressure,4
1,experiment/thermal_decomposition_temperature,experiment/glass_transition_temperature,53
1,experiment/thermal_decomposition_temperature,experiment/heat_capacity,13
1,experiment/thermal_decomposition_temperature,experiment/isobaric_coefficient_of_volume_expansion,1
1,experiment/thermal_decomposition_temperature,experiment/melting_point,97
1,experiment/thermal_decomposition_temperature,experiment/pec50,11
1,experiment/thermal_decomposition_temperature,experiment/refractive_index,14
1,experiment/thermal_decomposition_temperature,experiment/self_diffusion_coefficient,3
1,experiment/thermal_decomposition_temperature,experiment/speed_of_sound,8
1,experiment/thermal_decomposition_temperature,experiment/static_relative_permittivity,4
1,experiment/thermal_decomposition_temperature,experiment/surface_tension,22
1,experiment/thermal_decomposition_temperature,experiment/thermal_conductivity,9
1,experiment/thermal_decomposition_temperature,experiment/viscosity,47
1,experiment/thermal_decomposition_temperature,experiment/x_co2,9
1,experiment/thermal_decomposition_temperature,experiment/solvation,4
1,experiment/thermal_decomposition_temperature,experiment/transfer,3
1,experiment/viscosity,experiment/density,325
1,experiment/viscosity,experiment/dynamic_relative_permittivity,5
1,experiment/viscosity,experiment/electrical_conductivity,87
1,experiment/viscosity,experiment/equilibrium_pressure,16
1,experiment/viscosity,experiment/glass_transition_temperature,28
1,experiment/viscosity,experiment/heat_capacity,55
1,experiment/viscosity,experiment/isobaric_coefficient_of_volume_expansion,6
1,experiment/viscosity,experiment/melting_point,88
1,experiment/viscosity,experiment/pec50,23
1,experiment/viscosity,experiment/refractive_index,78
1,experiment/viscosity,experiment/self_diffusion_coefficient,8
1,experiment/viscosity,experiment/speed_of_sound,36
1,experiment/viscosity,experiment/static_relative_permittivity,9
1,experiment/viscosity,experiment/surface_tension,86
1,experiment/viscosity,experiment/thermal_conductivity,15
1,experiment/viscosity,experiment/thermal_decomposition_temperature,61
1,experiment/viscosity,experiment/x_co2,18
1,experiment/viscosity,simulation/heat_of_vaporization,1
1,experiment/viscosity,experiment/solvation,12
1,experiment/viscosity,experiment/transfer,10
1,experiment/x_co2,experiment/density,19
1,experiment/x_co2,experiment/dynamic_relative_permittivity,2
1,experiment/x_co2,experiment/electrical_conductivity,13
1,experiment/x_co2,experiment/equilibrium_pressure,3
1,experiment/x_co2,experiment/glass_transition_temperature,8
1,experiment/x_co2,experiment/heat_capacity,10
1,experiment/x_co2,experiment/isobaric_coefficient_of_volume_expansion,2
1,experiment/x_co2,experiment/melting_point,13
1,experiment/x_co2,experiment/pec50,8
1,experiment/x_co2,experiment/refractive_index,10
1,experiment/x_co2,experiment/self_diffusion_coefficient,3
1,experiment/x_co2,experiment/speed_of_sound,8
1,experiment/x_co2,experiment/static_relative_permittivity,2
1,experiment/x_co2,experiment/surface_tension,15
1,experiment/x_co2,experiment/thermal_conductivity,5
1,experiment/x_co2,experiment/thermal_decomposition_temperature,12
1,experiment/x_co2,experiment/viscosity,21
1,experiment/x_co2,simulation/heat_of_vaporization,1
1,experiment/x_co2,experiment/solvation,5
1,experiment/x_co2,experiment/transfer,5
1,simulation/heat_of_vaporization,experiment/density,6
1,simulation/heat_of_vaporization,experiment/heat_capacity,1
1,simulation/heat_of_vaporization,experiment/melting_point,2
1,simulation/heat_of_vaporization,experiment/surface_tension,5
1,simulation/heat_of_vaporization,experiment/thermal_decomposition_temperature,1
1,simulation/heat_of_vaporization,experiment/viscosity,6
1,experiment/solvation,experiment/density,9
1,experiment/solvation,experiment/dynamic_relative_permittivity,4
1,experiment/solvation,experiment/electrical_conductivity,5
1,experiment/solvation,experiment/equilibrium_pressure,3
1,experiment/solvation,experiment/glass_transition_temperature,3
1,experiment/solvation,experiment/heat_capacity,5
1,experiment/solvation,experiment/isobaric_coefficient_of_volume_expansion,1
1,experiment/solvation,experiment/melting_point,6
1,experiment/solvation,experiment/pec50,4
1,experiment/solvation,experiment/refractive_index,5
1,experiment/solvation,experiment/self_diffusion_coefficient,1
1,experiment/solvation,experiment/speed_of_sound,5
1,experiment/solvation,experiment/static_relative_permittivity,2
1,experiment/solvation,experiment/surface_tension,7
1,experiment/solvation,experiment/thermal_conductivity,4
1,experiment/solvation,experiment/thermal_decomposition_temperature,5
1,experiment/solvation,experiment/viscosity,9
1,experiment/solvation,experiment/x_co2,3
1,experiment/solvation,experiment/transfer,13
1,experiment/transfer,experiment/density,7
1,experiment/transfer,experiment/dynamic_relative_permittivity,1
1,experiment/transfer,experiment/electrical_conductivity,7
1,experiment/transfer,experiment/equilibrium_pressure,3
1,experiment/transfer,experiment/glass_transition_temperature,3
1,experiment/transfer,experiment/heat_capacity,5
1,experiment/transfer,experiment/isobaric_coefficient_of_volume_expansion,2
1,experiment/transfer,experiment/melting_point,6
1,experiment/transfer,experiment/pec50,5
1,experiment/transfer,experiment/refractive_index,6
1,experiment/transfer,experiment/self_diffusion_coefficient,4
1,experiment/transfer,experiment/speed_of_sound,5
1,experiment/transfer,experiment/static_relative_permittivity,4
1,experiment/transfer,experiment/surface_tension,5
1,experiment/transfer,experiment/thermal_conductivity,4
1,experiment/transfer,experiment/thermal_decomposition_temperature,4
1,experiment/transfer,experiment/viscosity,7
1,experiment/transfer,experiment/x_co2,6
1,experiment/transfer,experiment/solvation,12
2,experiment/density,experiment/dynamic_relative_permittivity,7
2,experiment/density,experiment/electrical_conductivity,93
2,experiment/density,experiment/equilibrium_pressure,22
2,experiment/density,experiment/glass_transition_temperature,35
2,experiment/density,experiment/heat_capacity,47
2,experiment/density,experiment/isobaric_coefficient_of_volume_expansion,2
2,experiment/density,experiment/melting_point,99
2,experiment/density,experiment/pec50,30
2,experiment/density,experiment/refractive_index,95
2,experiment/density,experiment/self_diffusion_coefficient,7
2,experiment/density,experiment/speed_of_sound,28
2,experiment/density,experiment/static_relative_permittivity,7
2,experiment/density,experiment/surface_tension,163
2,experiment/density,experiment/thermal_conductivity,11
2,experiment/density,experiment/thermal_decomposition_temperature,58
2,experiment/density,experiment/viscosity,336
2,experiment/density,experiment/x_co2,24
2,experiment/density,simulation/heat_of_vaporization,3
2,experiment/density,experiment/solvation,11
2,experiment/density,experiment/transfer,10
2,experiment/dynamic_relative_permittivity,experiment/density,8
2,experiment/dynamic_relative_permittivity,experiment/electrical_conductivity,7
2,experiment/dynamic_relative_permittivity,experiment/equilibrium_pressure,3
2,experiment/dynamic_relative_permittivity,experiment/glass_transition_temperature,6
2,experiment/dynamic_relative_permittivity,experiment/heat_capacity,4
2,experiment/dynamic_relative_permittivity,experiment/isobaric_coefficient_of_volume_expansion,3
2,experiment/dynamic_relative_permittivity,experiment/melting_point,4
2,experiment/dynamic_relative_permittivity,experiment/pec50,3
2,experiment/dynamic_relative_permittivity,experiment/refractive_index,5
2,experiment/dynamic_relative_permittivity,experiment/self_diffusion_coefficient,2
2,experiment/dynamic_relative_permittivity,experiment/speed_of_sound,4
2,experiment/dynamic_relative_permittivity,experiment/static_relative_permittivity,4
2,experiment/dynamic_relative_permittivity,experiment/surface_tension,7
2,experiment/dynamic_relative_permittivity,experiment/thermal_conductivity,6
2,experiment/dynamic_relative_permittivity,experiment/thermal_decomposition_temperature,5
2,experiment/dynamic_relative_permittivity,experiment/viscosity,8
2,experiment/dynamic_relative_permittivity,experiment/x_co2,4
2,experiment/dynamic_relative_permittivity,experiment/solvation,2
2,experiment/dynamic_relative_permittivity,experiment/transfer,2
2,experiment/electrical_conductivity,experiment/density,98
2,experiment/electrical_conductivity,experiment/dynamic_relative_permittivity,6
2,experiment/electrical_conductivity,experiment/equilibrium_pressure,6
2,experiment/electrical_conductivity,experiment/glass_transition_temperature,11
2,experiment/electrical_conductivity,experiment/heat_capacity,16
2,experiment/electrical_conductivity,experiment/melting_point,34
2,experiment/electrical_conductivity,experiment/pec50,8
2,experiment/electrical_conductivity,experiment/refractive_index,30
2,experiment/electrical_conductivity,experiment/self_diffusion_coefficient,3
2,experiment/electrical_conductivity,experiment/speed_of_sound,13
2,experiment/electrical_conductivity,experiment/static_relative_permittivity,2
2,experiment/electrical_conductivity,experiment/surface_tension,36
2,experiment/electrical_conductivity,experiment/thermal_conductivity,9
2,experiment/electrical_conductivity,experiment/thermal_decomposition_temperature,23
2,experiment/electrical_conductivity,experiment/viscosity,90
2,experiment/electrical_conductivity,experiment/x_co2,6
2,experiment/electrical_conductivity,experiment/solvation,5
2,experiment/electrical_conductivity,experiment/transfer,7
2,experiment/equilibrium_pressure,experiment/density,11
2,experiment/equilibrium_pressure,experiment/dynamic_relative_permittivity,1
2,experiment/equilibrium_pressure,experiment/electrical_conductivity,5
2,experiment/equilibrium_pressure,experiment/glass_transition_temperature,4
2,experiment/equilibrium_pressure,experiment/heat_capacity,3
2,experiment/equilibrium_pressure,experiment/isobaric_coefficient_of_volume_expansion,1
2,experiment/equilibrium_pressure,experiment/melting_point,8
2,experiment/equilibrium_pressure,experiment/pec50,4
2,experiment/equilibrium_pressure,experiment/refractive_index,7
2,experiment/equilibrium_pressure,experiment/self_diffusion_coefficient,4
2,experiment/equilibrium_pressure,experiment/speed_of_sound,3
2,experiment/equilibrium_pressure,experiment/static_relative_permittivity,2
2,experiment/equilibrium_pressure,experiment/surface_tension,11
2,experiment/equilibrium_pressure,experiment/thermal_conductivity,1
2,experiment/equilibrium_pressure,experiment/thermal_decomposition_temperature,5
2,experiment/equilibrium_pressure,experiment/viscosity,11
2,experiment/equilibrium_pressure,experiment/x_co2,3
2,experiment/equilibrium_pressure,experiment/solvation,1
2,experiment/equilibrium_pressure,experiment/transfer,1
2,experiment/glass_transition_temperature,experiment/density,33
2,experiment/glass_transition_temperature,experiment/dynamic_relative_permittivity,5
2,experiment/glass_transition_temperature,experiment/electrical_conductivity,20
2,experiment/glass_transition_temperature,experiment/equilibrium_pressure,12
2,experiment/glass_transition_temperature,experiment/heat_capacity,15
2,experiment/glass_transition_temperature,experiment/isobaric_coefficient_of_volume_expansion,4
2,experiment/glass_transition_temperature,experiment/melting_point,33
2,experiment/glass_transition_temperature,experiment/pec50,9
2,experiment/glass_transition_temperature,experiment/refractive_index,22
2,experiment/glass_transition_temperature,experiment/self_diffusion_coefficient,4
2,experiment/glass_transition_temperature,experiment/speed_of_sound,10
2,experiment/glass_transition_temperature,experiment/static_relative_permittivity,8
2,experiment/glass_transition_temperature,experiment/surface_tension,16
2,experiment/glass_transition_temperature,experiment/thermal_conductivity,10
2,experiment/glass_transition_temperature,experiment/thermal_decomposition_temperature,61
2,experiment/glass_transition_temperature,experiment/viscosity,35
2,experiment/glass_transition_temperature,experiment/x_co2,10
2,experiment/glass_transition_temperature,experiment/solvation,3
2,experiment/glass_transition_temperature,experiment/transfer,3
2,experiment/heat_capacity,experiment/density,50
2,experiment/heat_capacity,experiment/dynamic_relative_permittivity,5
2,experiment/heat_capacity,experiment/electrical_conductivity,27
2,experiment/heat_capacity,experiment/equilibrium_pressure,8
2,experiment/heat_capacity,experiment/glass_transition_temperature,12
2,experiment/heat_capacity,experiment/isobaric_coefficient_of_volume_expansion,1
2,experiment/heat_capacity,experiment/melting_point,27
2,experiment/heat_capacity,experiment/pec50,8
2,experiment/heat_capacity,experiment/refractive_index,28
2,experiment/heat_capacity,experiment/self_diffusion_coefficient,3
2,experiment/heat_capacity,experiment/speed_of_sound,22
2,experiment/heat_capacity,experiment/static_relative_permittivity,7
2,experiment/heat_capacity,experiment/surface_tension,34
2,experiment/heat_capacity,experiment/thermal_conductivity,11
2,experiment/heat_capacity,experiment/thermal_decomposition_temperature,18
2,experiment/heat_capacity,experiment/viscosity,48
